"filename", "language", "PHP", "JSON", "PostCSS", "JavaScript", "Markdown", "XML", "vue", "HTML", "comment", "blank", "total"
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/package-lock.json", "JSON", 0, 1809, 0, 0, 0, 0, 0, 0, 0, 1, 1810
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/public/vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/App.vue", "vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 5, 12
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/assets/vue.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/axios.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/components/AuthLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 21, 0, 3, 7, 31
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/components/DefaultLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 105, 0, 10, 13, 128
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/components/PageComponent.vue", "vue", 0, 0, 0, 0, 0, 0, 19, 0, 0, 5, 24
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/components/editor/QuestionEditor.vue", "vue", 0, 0, 0, 0, 0, 0, 254, 0, 19, 28, 301
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/main.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/router/index.js", "JavaScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 8, 80
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/store/index.js", "JavaScript", 0, 0, 0, 211, 0, 0, 0, 0, 0, 5, 216
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/style.css", "PostCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 4
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/views/Dashboard.vue", "vue", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/views/Login.vue", "vue", 0, 0, 0, 0, 0, 0, 62, 0, 0, 12, 74
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/views/Register.vue", "vue", 0, 0, 0, 0, 0, 0, 58, 0, 0, 7, 65
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/views/SurveyView.vue", "vue", 0, 0, 0, 0, 0, 0, 304, 0, 12, 21, 337
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/src/views/Surveys.vue", "vue", 0, 0, 0, 0, 0, 0, 97, 0, 0, 6, 103
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vue/vite.config.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"Total", "-", 1125, 10152, 10, 327, 43, 35, 935, 13, 821, 553, 14014
